,id,board,score,mvt,action,depth,width,player,step,winner,parent
10,D10-W0-P1-S0,"[['black', 'black', 'white', 'white', 'black'], ['black', 'white', 'white', 'black', 'black'], [None, None, None, None, None], [None, None, None, None, None], [None, None, None, None, None]]","(0, 0)","[(2, 0), (2, 1), (2, 3), (2, 4), (3, 0), (3, 1), (3, 2), (3, 3), (3, 4), (4, 0), (4, 1), (4, 2), (4, 3), (4, 4)]","(2, 0)",10,0,1,0,-1,D9-W0-P0-S0
11,D11-W0-P1-S0,"[['black', 'black', 'white', 'white', 'black'], ['black', 'white', 'white', 'black', 'black'], ['white', None, None, None, None], [None, None, None, None, None], [None, None, None, None, None]]","(0, 0)","[(2, 1), (2, 3), (2, 4), (3, 0), (3, 1), (3, 2), (3, 3), (3, 4), (4, 0), (4, 1), (4, 2), (4, 3), (4, 4)]","(2, 1)",11,0,1,0,-1,D10-W0-P1-S0
12,D12-W0-P0-S0,"[['black', 'black', 'white', 'white', 'black'], ['black', 'white', 'white', 'black', 'black'], ['white', 'white', None, None, None], [None, None, None, None, None], [None, None, None, None, None]]","(0, 0)","[(2, 3), (2, 4), (3, 0), (3, 1), (3, 2), (3, 3), (3, 4), (4, 0), (4, 1), (4, 2), (4, 3), (4, 4)]","(2, 3)",12,0,0,0,-1,D11-W0-P1-S0
13,D13-W0-P0-S0,"[['black', 'black', 'white', 'white', 'black'], ['black', 'white', 'white', 'black', 'black'], ['white', 'white', None, 'black', None], [None, None, None, None, None], [None, None, None, None, None]]","(0, 0)","[(2, 4), (3, 0), (3, 1), (3, 2), (3, 3), (3, 4), (4, 0), (4, 1), (4, 2), (4, 3), (4, 4)]","(2, 4)",13,0,0,0,-1,D12-W0-P0-S0
14,D14-W0-P1-S0,"[['black', 'black', 'white', 'white', 'black'], ['black', 'white', 'white', 'black', 'black'], ['white', 'white', None, 'black', 'black'], [None, None, None, None, None], [None, None, None, None, None]]","(0, 0)","[(3, 0), (3, 1), (3, 2), (3, 3), (3, 4), (4, 0), (4, 1), (4, 2), (4, 3), (4, 4)]","(3, 0)",14,0,1,0,-1,D13-W0-P0-S0
15,D15-W0-P1-S0,"[['black', 'black', 'white', 'white', 'black'], ['black', 'white', 'white', 'black', 'black'], ['white', 'white', None, 'black', 'black'], ['white', None, None, None, None], [None, None, None, None, None]]","(0, 0)","[(3, 1), (3, 2), (3, 3), (3, 4), (4, 0), (4, 1), (4, 2), (4, 3), (4, 4)]","(3, 1)",15,0,1,0,-1,D14-W0-P1-S0
16,D16-W0-P0-S0,"[['black', 'black', 'white', 'white', 'black'], ['black', 'white', 'white', 'black', 'black'], ['white', 'white', None, 'black', 'black'], ['white', 'white', None, None, None], [None, None, None, None, None]]","(0, 0)","[(3, 2), (3, 3), (3, 4), (4, 0), (4, 1), (4, 2), (4, 3), (4, 4)]","(3, 2)",16,0,0,0,-1,D15-W0-P1-S0
17,D17-W0-P0-S0,"[['black', 'black', 'white', 'white', 'black'], ['black', 'white', 'white', 'black', 'black'], ['white', 'white', None, 'black', 'black'], ['white', 'white', 'black', None, None], [None, None, None, None, None]]","(0, 0)","[(3, 3), (3, 4), (4, 0), (4, 1), (4, 2), (4, 3), (4, 4)]","(3, 3)",17,0,0,0,-1,D16-W0-P0-S0
18,D18-W0-P1-S0,"[['black', 'black', 'white', 'white', 'black'], ['black', 'white', 'white', 'black', 'black'], ['white', 'white', None, 'black', 'black'], ['white', 'white', 'black', 'black', None], [None, None, None, None, None]]","(0, 0)","[(3, 4), (4, 0), (4, 1), (4, 2), (4, 3), (4, 4)]","(3, 4)",18,0,1,0,-1,D17-W0-P0-S0
19,D19-W0-P1-S0,"[['black', 'black', 'white', 'white', 'black'], ['black', 'white', 'white', 'black', 'black'], ['white', 'white', None, 'black', 'black'], ['white', 'white', 'black', 'black', 'white'], [None, None, None, None, None]]","(0, 0)","[(4, 0), (4, 1), (4, 2), (4, 3), (4, 4)]","(4, 0)",19,0,1,0,-1,D18-W0-P1-S0
20,D20-W0-P0-S0,"[['black', 'black', 'white', 'white', 'black'], ['black', 'white', 'white', 'black', 'black'], ['white', 'white', None, 'black', 'black'], ['white', 'white', 'black', 'black', 'white'], ['white', None, None, None, None]]","(0, 0)","[(4, 1), (4, 2), (4, 3), (4, 4)]","(4, 1)",20,0,0,0,-1,D19-W0-P1-S0
21,D21-W0-P0-S0,"[['black', 'black', 'white', 'white', 'black'], ['black', 'white', 'white', 'black', 'black'], ['white', 'white', None, 'black', 'black'], ['white', 'white', 'black', 'black', 'white'], ['white', 'black', None, None, None]]","(0, 0)","[(4, 2), (4, 3), (4, 4)]","(4, 2)",21,0,0,0,-1,D20-W0-P0-S0
